ML Model,Configuration,Accuracy,F1 Score,Recall,Precision,ROC_AUC
Support Vector Machine 95,Original Data,90.182%,90.258%,90.328%,91.043%,98.951%
Support Vector Machine 95,Normalized Data,87.273%,87.277%,87.298%,87.309%,97.321%
Support Vector Machine 95,SelectKBest,89.091%,89.133%,89.120%,89.189%,96.961%
Support Vector Machine 95,RFECV,89.091%,89.133%,89.120%,89.189%,96.924%
Support Vector Machine 95,PCA,88.727%,88.773%,88.762%,88.852%,97.916%
Support Vector Machine 90,Original Data,90.182%,90.258%,90.328%,91.043%,98.951%
Support Vector Machine 90,Normalized Data,87.273%,87.277%,87.298%,87.309%,97.305%
Support Vector Machine 90,SelectKBest,89.091%,89.133%,89.120%,89.189%,97.059%
Support Vector Machine 90,RFECV,89.091%,89.133%,89.120%,89.189%,97.022%
Support Vector Machine 90,PCA,90.182%,90.247%,90.250%,90.781%,94.319%
Support Vector Machine 99,Original Data,90.182%,90.258%,90.328%,91.043%,98.953%
Support Vector Machine 99,Normalized Data,87.273%,87.277%,87.298%,87.309%,97.307%
Support Vector Machine 99,SelectKBest,89.091%,89.133%,89.120%,89.189%,97.037%
Support Vector Machine 99,RFECV,89.091%,89.133%,89.120%,89.189%,96.952%
Support Vector Machine 99,PCA,90.546%,90.557%,90.551%,90.567%,97.040%
Random Forest 90,Original Data,88.364%,88.370%,88.395%,88.474%,98.697%
Random Forest 90,Normalized Data,88.000%,88.014%,88.044%,88.149%,98.701%
Random Forest 90,SelectKBest,92.364%,92.365%,92.356%,92.378%,97.960%
Random Forest 90,RFECV,92.364%,92.365%,92.356%,92.378%,97.960%
Random Forest 90,PCA,91.636%,91.651%,91.687%,91.730%,98.316%
Random Forest 95,Original Data,88.364%,88.370%,88.395%,88.474%,98.697%
Random Forest 95,Normalized Data,88.000%,88.014%,88.044%,88.149%,98.701%
Random Forest 95,SelectKBest,92.364%,92.365%,92.356%,92.378%,97.960%
Random Forest 95,RFECV,92.364%,92.365%,92.356%,92.378%,97.960%
Random Forest 95,PCA,92.000%,91.988%,92.010%,92.027%,98.320%
Random Forest 99,Original Data,88.364%,88.370%,88.395%,88.474%,98.697%
Random Forest 99,Normalized Data,88.000%,88.014%,88.044%,88.149%,98.701%
Random Forest 99,SelectKBest,92.364%,92.365%,92.356%,92.378%,97.960%
Random Forest 99,RFECV,92.364%,92.365%,92.356%,92.378%,97.960%
Random Forest 99,PCA,92.000%,91.988%,92.010%,92.027%,98.320%
